title,img1,img2,price,status,brand
[H03196] W ADIDAS STAN SMITH CLEAR PINK/SOLAR RED,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/stan-smith-shoes-white-h03196-04-standard.jpg?v=1640093671000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/stan-smith-shoes-white-h03196-09-standard.jpg?v=1640093671000,2.190.000?,36|36.7|37.3|38|38.7|39.3,ADIDAS
"[CJ2099-112] K NIKE AIR ZOOM PERGASUS 37 ""OMBRE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/615avsk2sjl-ac-ul1500.jpg?v=1648469355000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/cj2099-112.jpg?v=1648469355000,2.790.000?,37.5|38.5|39|40,NIKE
"[CZ0774-200] W NIKE AIR JORDAN 1 MID SE ""WHITE SESAME""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/782950-01-jpg-jpeg-1623856937.jpg?v=1638875440000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/782950-08-jpg-jpeg-1623856954.jpg?v=1638875440000,4.850.000?,36|36.5|37.5|38|38.5|39,JORDAN
"[DA3093-100] K NIKE AIR FORCE 1 LV8 ""INDIGO""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/768884-01-jpg-jpeg-1622127748.jpg?v=1638875239000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/768884-08-jpg-jpeg-1622127744.jpg?v=1638875239000,2.450.000?,36|36.5|37.5|38|38.5|39|40,NIKE
"[DC9509-100] W NIKE AIR JORDAN 1 LOW SE ""WHITE SESAME""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-sesame-dc9509-100-release-date-2-1024x640.jpg?v=1638874281000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/air-jordan-1-low-sesame-dc9509-100-release-date.jpg?v=1638874281000,4.250.000?,36|36.5|37.5|38|38.5|39,JORDAN
[FV1328] W ADIDAS NITE JOGGER GREY PINK TINT CLOUD WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-nite-jogger-xam-fv1328-04-standard.jpg?v=1636891256000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/giay-nite-jogger-xam-fv1328-01-standard.jpg?v=1636891237000,1.700.000?,36.7|37.3|38.7,ADIDAS
[FW0997] W ADIDAS NEO 8K 2020 MARATHON RUNNING,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/zapatillas-8k-2020-negro-fw0997-06-standard.jpg?v=1637400676000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/zapatillas-8k-2020-negro-fw0997-010-hover-standard.jpg?v=1637400676000,1.790.000?,36|36.7|38|38.7,ADIDAS
[EG7876] W ADIDAS SLEEK SHOES,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adidas-sleek-shoes-white-eg7876-05-standard.jpg?v=1636889954000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adidas-sleek-shoes-white-eg7876-01-standard.jpg?v=1636889954000,2.190.000?,36.7|38,ADIDAS
"[554725-190] K AIR JORDAN 1 MID "" WHITE GOLD "" BLACK",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/754933-01-jpg-jpeg-1617888782.jpg?v=1634808099000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/754933-08-jpg-jpeg-1617888790.jpg?v=1634808099000,4.250.000?,36|36.5|38|38.5|39|40,JORDAN
"[553558-118] M AIR JORDAN 1 LOW ""UNIVERSITY GYM RED""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/s-l1600-45f4c33e-cfb6-4167-a376-10a8e00001c9.jpg?v=1635323347000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/s-l1600-727d7d5b-1f69-423b-ba2f-cc453def2c12.jpg?v=1635323347000,4.650.000?,40.5|41|42|42.5|43|44,JORDAN
[DD8959-100] W NIKE AIR FORCE 1 LOW ALL WHITE '07,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/swift-run-x-shoes-blue-fy2137-05-standard-a19a79e8-032e-448f-8688-1f722b77731b-jpg-v-1624435649400.jpg?v=1649337554000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/bfed14df-ba12-4a55-bd5e-80ade8c49e67.jpg?v=1649337554000,2.950.000?,41|42,NIKE
[DH2920-111] K NIKE AIR FORCE 1 LOW ALL WHITE,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0f3ec492-a0fc-4b8e-8224-7416c948b2e7.jpg?v=1639022443000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/7811a70d-ec16-4446-a423-55d347026d49.jpg?v=1639022435000,2.650.000?,35.5|36|36.5|37.5|38|38.5|39|40,NIKE
